labels,sector,type,essential,usd_per_ton,output,final_demand,share_exporting_firms,cutoff,supply_data,country,country_ISO
TCD_Finacial Intermediation and Business Activities,TCD_Finacial Intermediation and Business Activities,service,True,,4041818.031031919,797680.7554149978,0.0011070108581196,0,USD,Chad,TCD
TCD_Public Administration,TCD_Public Administration,service,True,,1074007.2613790345,1000456.9684957108,0.0534161627079327,0,USD,Chad,TCD
"TCD_Education, Health and Other Services","TCD_Education, Health and Other Services",service,True,,1405865.415166203,1044878.9510088149,0.0284293450967799,0,USD,Chad,TCD
TCD_Private Households,TCD_Private Households,service,True,,53850.4163542415,20247.163123179576,0.6150593349582,0,USD,Chad,TCD
TCD_Others,TCD_Others,service,True,,52281.98063430016,14928.00358450936,0.0934599894745626,0,USD,Chad,TCD
TCD_Re-export & Re-import,TCD_Re-export & Re-import,imports,True,,33019.35090156685,4950.455671921389,0.8499356673941687,0,USD,Chad,TCD
CHL_Agriculture,CHL_Agriculture,agriculture,True,,16057177.964190632,6440467.629599156,0.2055087115862204,0,USD,Chile,CHL
CHL_Fishing,CHL_Fishing,agriculture,True,,4968169.587775254,1400022.0154184452,0.0658576584086261,0,USD,Chile,CHL
CHL_Mining and Quarrying,CHL_Mining and Quarrying,mining,True,,44975217.93507013,1309085.7828242455,0.3120066575420383,0,USD,Chile,CHL
CHL_Food & Beverages,CHL_Food & Beverages,agriculture,True,,41658682.23852068,29800331.378810428,0.0846196797951191,0,USD,Chile,CHL
CHL_Textiles and Wearing Apparel,CHL_Textiles and Wearing Apparel,manufacturing,True,,10149591.27854267,9242579.397055425,0.0197495892086829,0,USD,Chile,CHL
CHL_Wood and Paper,CHL_Wood and Paper,manufacturing,True,,13834536.652376032,703898.4224278417,0.3987228836869508,0,USD,Chile,CHL
"CHL_Petroleum, Chemical and Non-Metallic Mineral Products","CHL_Petroleum, Chemical and Non-Metallic Mineral Products",utility,True,,33867605.09150809,4216811.207646839,0.2179553200203154,0,USD,Chile,CHL
CHL_Metal Products,CHL_Metal Products,manufacturing,True,,11209590.468537964,977063.641438638,0.455568419622681,0,USD,Chile,CHL
CHL_Electrical and Machinery,CHL_Electrical and Machinery,utility,True,,3720145.642543529,1503422.8432529282,0.1259791299622797,0,USD,Chile,CHL
CHL_Transport Equipment,CHL_Transport Equipment,utility,True,,1136636.013270675,241570.81146049232,0.4366497141645605,0,USD,Chile,CHL
CHL_Other Manufacturing,CHL_Other Manufacturing,manufacturing,True,,3362175.085118892,3139455.5529035586,0.0354517281663573,0,USD,Chile,CHL
CHL_Recycling,CHL_Recycling,utility,True,,181583.0483440121,112699.52505649402,0.2292887313486426,0,USD,Chile,CHL
"CHL_Electricity, Gas and Water","CHL_Electricity, Gas and Water",utility,True,,18873574.55770578,3840117.1458467874,0.0049819941162447,0,USD,Chile,CHL
CHL_Construction,CHL_Construction,construction,True,,36356078.78207719,32030018.88324321,0.0087959596376664,0,USD,Chile,CHL
CHL_Maintenance and Repair,CHL_Maintenance and Repair,construction,True,,1053532.7357243365,305160.0251245364,0.0157943075451393,0,USD,Chile,CHL
CHL_Wholesale Trade,CHL_Wholesale Trade,trade,True,,13578856.85793345,3933167.308500902,0.0157943119479358,0,USD,Chile,CHL
CHL_Retail Trade,CHL_Retail Trade,trade,True,,30201241.33500378,8747915.368402345,0.0157943152393418,0,USD,Chile,CHL
CHL_Hotels and Restraurants,CHL_Hotels and Restraurants,service,True,,11567742.671425885,10085580.976602985,0.0279101557984523,0,USD,Chile,CHL
CHL_Transport,CHL_Transport,construction,True,,33480490.74211786,23579760.149589848,0.0296341062492215,0,USD,Chile,CHL
CHL_Post and Telecommunications,CHL_Post and Telecommunications,service,True,,8443461.883454764,6108980.016797972,0.0240718028570773,0,USD,Chile,CHL
CHL_Finacial Intermediation and Business Activities,CHL_Finacial Intermediation and Business Activities,service,True,,76931566.19753435,31640894.67469853,0.053048885668551,0,USD,Chile,CHL
CHL_Public Administration,CHL_Public Administration,service,True,,18260386.682772644,18122077.404760152,0.002113613326765,0,USD,Chile,CHL
"CHL_Education, Health and Other Services","CHL_Education, Health and Other Services",service,True,,48663100.32377894,44280119.36174008,0.0172567512727604,0,USD,Chile,CHL
CHL_Private Households,CHL_Private Households,service,True,,62376.64000065021,21309.54339446856,0.1668884019397825,0,USD,Chile,CHL
CHL_Others,CHL_Others,service,True,,2622.178289727012,394.8741101562279,0.8406116400026553,0,USD,Chile,CHL
CHL_Re-export & Re-import,CHL_Re-export & Re-import,imports,True,,3273660.1560844043,969968.2788841064,0.7036969415531906,0,USD,Chile,CHL
CHN_Agriculture,CHN_Agriculture,agriculture,True,,1419384392.162313,610839104.2649673,0.012301884357801,0,USD,China,CHN
CHN_Fishing,CHN_Fishing,agriculture,True,,155412237.76747397,77878047.37856327,0.0082476393976986,0,USD,China,CHN
CHN_Mining and Quarrying,CHN_Mining and Quarrying,mining,True,,841047393.7283232,34653015.58626398,0.0224000429375861,0,USD,China,CHN
CHN_Food & Beverages,CHN_Food & Beverages,agriculture,True,,1414172122.6740897,765773128.1061419,0.0180350282186059,0,USD,China,CHN
CHN_Textiles and Wearing Apparel,CHN_Textiles and Wearing Apparel,manufacturing,True,,1257024183.6100235,447815253.2737303,0.1052464734229325,0,USD,China,CHN
CHN_Wood and Paper,CHN_Wood and Paper,manufacturing,True,,617096437.6038067,65538639.9755104,0.0576395652410711,0,USD,China,CHN
"CHN_Petroleum, Chemical and Non-Metallic Mineral Products","CHN_Petroleum, Chemical and Non-Metallic Mineral Products",utility,True,,3317392999.831072,270694230.8462852,0.0718260578619775,0,USD,China,CHN
CHN_Metal Products,CHN_Metal Products,manufacturing,True,,2395677764.5685782,106159977.81952952,0.0665626749767679,0,USD,China,CHN
CHN_Electrical and Machinery,CHN_Electrical and Machinery,utility,True,,3868847915.451166,1553306844.391102,0.1073015441638667,0,USD,China,CHN
CHN_Transport Equipment,CHN_Transport Equipment,utility,True,,1161592653.5075347,461063292.3498833,0.0238402914085505,0,USD,China,CHN
CHN_Other Manufacturing,CHN_Other Manufacturing,manufacturing,True,,354767884.5322681,191825078.88669056,0.1045687063655381,0,USD,China,CHN
CHN_Recycling,CHN_Recycling,utility,True,,102267322.17998683,676055.789143208,0.0275852173652966,0,USD,China,CHN
"CHN_Electricity, Gas and Water","CHN_Electricity, Gas and Water",utility,True,,967502046.0345342,86140298.13784277,0.0005269630870359,0,USD,China,CHN
CHN_Construction,CHN_Construction,construction,True,,2525787263.004009,2411927981.075952,0.0020871751010365,0,USD,China,CHN
CHN_Maintenance and Repair,CHN_Maintenance and Repair,construction,True,,30037592.78974992,12512069.075800758,0.0766890497838496,0,USD,China,CHN
CHN_Wholesale Trade,CHN_Wholesale Trade,trade,True,,387151375.0136607,161266653.74284974,0.0766889982252897,0,USD,China,CHN
CHN_Retail Trade,CHN_Retail Trade,trade,True,,861078090.5480534,358679697.4467761,0.0766890463244141,0,USD,China,CHN
CHN_Hotels and Restraurants,CHN_Hotels and Restraurants,service,True,,567471408.0504707,330315042.9814377,0.0172818812253887,0,USD,China,CHN
CHN_Transport,CHN_Transport,construction,True,,1132467870.025322,262145737.40513533,0.0545122332254826,0,USD,China,CHN
CHN_Post and Telecommunications,CHN_Post and Telecommunications,service,True,,324377794.5897751,95643044.42186292,0.0402350353078809,0,USD,China,CHN
CHN_Finacial Intermediation and Business Activities,CHN_Finacial Intermediation and Business Activities,service,True,,2083131395.9405367,958488776.2349908,0.0427459947634964,0,USD,China,CHN
CHN_Public Administration,CHN_Public Administration,service,True,,76263141.69911288,76261637.86889017,1.813714140168344e-05,0,USD,China,CHN
"CHN_Education, Health and Other Services","CHN_Education, Health and Other Services",service,True,,1385282350.9474835,1141661443.2905035,0.0153434172394117,0,USD,China,CHN
CHN_Private Households,CHN_Private Households,service,True,,6311822.695653329,3700576.328715018,0.0635768620724497,0,USD,China,CHN
CHN_Others,CHN_Others,service,True,,683985723.9746561,683972236.5117173,1.8137100985942264e-05,0,USD,China,CHN
CHN_Re-export & Re-import,CHN_Re-export & Re-import,imports,True,,111683.6905458214,3296.94984879446,0.9522735362735836,0,USD,China,CHN
COL_Agriculture,COL_Agriculture,agriculture,True,,27136917.04485566,11092665.834788913,0.1722444110399354,0,USD,Colombia,COL
COL_Fishing,COL_Fishing,agriculture,True,,828004.9370241382,283916.45227247017,0.1168308016040842,0,USD,Colombia,COL
COL_Mining and Quarrying,COL_Mining and Quarrying,mining,True,,38082220.18863529,102339.7878019089,0.3328600151827844,0,USD,Colombia,COL
COL_Food & Beverages,COL_Food & Beverages,agriculture,True,,37571270.13499072,28198383.05399988,0.0194672940830302,0,USD,Colombia,COL
COL_Textiles and Wearing Apparel,COL_Textiles and Wearing Apparel,manufacturing,True,,10384021.111469584,8713961.177829593,0.0344760395878396,0,USD,Colombia,COL
COL_Wood and Paper,COL_Wood and Paper,manufacturing,True,,3276736.2972800075,166143.93867706388,0.0925393110958161,0,USD,Colombia,COL
"COL_Petroleum, Chemical and Non-Metallic Mineral Products","COL_Petroleum, Chemical and Non-Metallic Mineral Products",utility,True,,51074801.034463935,3517999.964228228,0.0432202019486294,0,USD,Colombia,COL
COL_Metal Products,COL_Metal Products,manufacturing,True,,20235055.22536393,167610.835885974,0.0230363074963981,0,USD,Colombia,COL
COL_Electrical and Machinery,COL_Electrical and Machinery,utility,True,,11842673.422259867,2284175.6170430933,0.0309978624409845,0,USD,Colombia,COL
COL_Transport Equipment,COL_Transport Equipment,utility,True,,3608804.19148873,1383294.3400843518,0.0669531534479592,0,USD,Colombia,COL
COL_Other Manufacturing,COL_Other Manufacturing,manufacturing,True,,6639995.0628943965,6114721.289611658,0.0129210202613222,0,USD,Colombia,COL
COL_Recycling,COL_Recycling,utility,True,,1390855.0952871065,19637.742215646005,0.0268834090029653,0,USD,Colombia,COL
"COL_Electricity, Gas and Water","COL_Electricity, Gas and Water",utility,True,,22939890.41257964,7853528.66193768,0.001685646206522,0,USD,Colombia,COL
COL_Construction,COL_Construction,construction,True,,52909784.59523718,43868015.46055443,0.0269107909335715,0,USD,Colombia,COL
COL_Maintenance and Repair,COL_Maintenance and Repair,construction,True,,348709.8122436297,220353.1885061751,0.1762961200372075,0,USD,Colombia,COL
COL_Wholesale Trade,COL_Wholesale Trade,trade,True,,4494482.922052893,2840108.4339056592,0.1762961654964557,0,USD,Colombia,COL
COL_Retail Trade,COL_Retail Trade,trade,True,,9996337.95326475,6316780.9750967175,0.1762963011161978,0,USD,Colombia,COL
COL_Hotels and Restraurants,COL_Hotels and Restraurants,service,True,,52748623.946076095,27133749.03822633,0.065833216168818,0,USD,Colombia,COL
COL_Transport,COL_Transport,construction,True,,31211418.865122385,19193117.98142973,0.0230401027809795,0,USD,Colombia,COL
COL_Post and Telecommunications,COL_Post and Telecommunications,service,True,,13406440.953984696,8147294.895535502,0.0107480641442238,0,USD,Colombia,COL
COL_Finacial Intermediation and Business Activities,COL_Finacial Intermediation and Business Activities,service,True,,92295452.1327832,23814405.74108096,0.0138442121490858,0,USD,Colombia,COL
COL_Public Administration,COL_Public Administration,service,True,,28335446.6562007,28071015.65126736,0.009275660081357,0,USD,Colombia,COL
"COL_Education, Health and Other Services","COL_Education, Health and Other Services",service,True,,36641121.56528219,32278470.417086747,0.013172062269861,0,USD,Colombia,COL
COL_Private Households,COL_Private Households,service,True,,2095811.9848215128,1960923.7490240943,0.0637574319605766,0,USD,Colombia,COL
COL_Others,COL_Others,service,True,,8675824.721419545,8653177.062028939,0.0018772864811797,0,USD,Colombia,COL
COL_Re-export & Re-import,COL_Re-export & Re-import,imports,True,,27001.58919804901,2106.2502878517084,0.5617458505476847,0,USD,Colombia,COL
COG_Agriculture,COG_Agriculture,agriculture,True,,754808.5417573908,178888.57945016286,0.2028829537033095,0,USD,Congo,COG
COG_Fishing,COG_Fishing,agriculture,True,,38501.45969317972,3631.039399088176,0.1879573390661194,0,USD,Congo,COG
COG_Mining and Quarrying,COG_Mining and Quarrying,mining,True,,3142262.005863866,32655.12727901711,0.978236124773365,0,USD,Congo,COG
COG_Food & Beverages,COG_Food & Beverages,agriculture,True,,642258.1888780004,295111.8244390352,0.0168242851941582,0,USD,Congo,COG
COG_Textiles and Wearing Apparel,COG_Textiles and Wearing Apparel,manufacturing,True,,152043.32477236117,39941.2380217004,0.0398979607736349,0,USD,Congo,COG
COG_Wood and Paper,COG_Wood and Paper,manufacturing,True,,517257.3969196473,22608.31877558079,0.0763212369415375,0,USD,Congo,COG
"COG_Petroleum, Chemical and Non-Metallic Mineral Products","COG_Petroleum, Chemical and Non-Metallic Mineral Products",utility,True,,1280177.2591129544,117362.19264137604,0.0465839806144578,0,USD,Congo,COG
COG_Metal Products,COG_Metal Products,manufacturing,True,,607235.6915669412,31453.315369511143,0.1736671016212928,0,USD,Congo,COG
COG_Electrical and Machinery,COG_Electrical and Machinery,utility,True,,1622598.031600586,658261.5443935235,0.0107413250143467,0,USD,Congo,COG
COG_Transport Equipment,COG_Transport Equipment,utility,True,,674658.0903176616,329803.92002217687,0.0163514930848764,0,USD,Congo,COG
COG_Other Manufacturing,COG_Other Manufacturing,manufacturing,True,,214681.9825811276,68509.21039731322,0.0489757867027391,0,USD,Congo,COG
COG_Recycling,COG_Recycling,utility,True,,46292.34927369334,17250.653117478843,0.1507245617188766,0,USD,Congo,COG
"COG_Electricity, Gas and Water","COG_Electricity, Gas and Water",utility,True,,907061.25157916,452621.4651125076,0.0074380622509291,0,USD,Congo,COG
COG_Construction,COG_Construction,construction,True,,1910033.849470866,1428361.2050984043,0.0100733107587546,0,USD,Congo,COG
COG_Maintenance and Repair,COG_Maintenance and Repair,construction,True,,53934.932130864494,18525.779947392308,0.2496897648781074,0,USD,Congo,COG
COG_Wholesale Trade,COG_Wholesale Trade,trade,True,,1249325.705927129,459064.87697659904,0.032825659076705,0,USD,Congo,COG
COG_Retail Trade,COG_Retail Trade,trade,True,,773371.2377343299,549769.7036323698,0.0450396826871978,0,USD,Congo,COG
COG_Hotels and Restraurants,COG_Hotels and Restraurants,service,True,,643300.8816812134,417927.261766609,0.0732136435729982,0,USD,Congo,COG
COG_Transport,COG_Transport,construction,True,,1197374.8141438272,214050.1092327615,0.1548076401177759,0,USD,Congo,COG
COG_Post and Telecommunications,COG_Post and Telecommunications,service,True,,1038857.3268780484,300919.9474599598,0.0546278939838953,0,USD,Congo,COG
COG_Finacial Intermediation and Business Activities,COG_Finacial Intermediation and Business Activities,service,True,,5036462.126342678,789583.4096135513,0.0007492926001344,0,USD,Congo,COG
COG_Public Administration,COG_Public Administration,service,True,,1377115.9894512843,1327484.667708717,0.0094022514550325,0,USD,Congo,COG
"COG_Education, Health and Other Services","COG_Education, Health and Other Services",service,True,,1810470.574059567,1336586.467411479,0.0183670127808408,0,USD,Congo,COG
COG_Private Households,COG_Private Households,service,True,,26776.747177140816,15054.710187049972,0.4006264019719633,0,USD,Congo,COG
COG_Others,COG_Others,service,True,,73795.63812160488,10200.82580063626,0.0392843234337481,0,USD,Congo,COG
COG_Re-export & Re-import,COG_Re-export & Re-import,imports,True,,12466.274692647035,2735.5510865390315,0.7756339898246598,0,USD,Congo,COG
CRI_Agriculture,CRI_Agriculture,agriculture,True,,5338174.321309285,1485107.9976721068,0.446934459426199,0,USD,Costa Rica,CRI
CRI_Fishing,CRI_Fishing,agriculture,True,,338118.73529581627,50553.024070022926,0.7469189511336685,0,USD,Costa Rica,CRI
CRI_Mining and Quarrying,CRI_Mining and Quarrying,mining,True,,605581.8365246648,24859.79784978898,0.0827203340713676,0,USD,Costa Rica,CRI
CRI_Food & Beverages,CRI_Food & Beverages,agriculture,True,,4426203.682388868,2443392.1995628006,0.2179528632820186,0,USD,Costa Rica,CRI
CRI_Textiles and Wearing Apparel,CRI_Textiles and Wearing Apparel,manufacturing,True,,1873426.3724318184,1412976.6085417687,0.1218649068891335,0,USD,Costa Rica,CRI
CRI_Wood and Paper,CRI_Wood and Paper,manufacturing,True,,2233232.8731706054,135590.87171832807,0.1710412284366805,0,USD,Costa Rica,CRI
"CRI_Petroleum, Chemical and Non-Metallic Mineral Products","CRI_Petroleum, Chemical and Non-Metallic Mineral Products",utility,True,,6383351.462259488,880085.6848809745,0.2249638710321362,0,USD,Costa Rica,CRI
CRI_Metal Products,CRI_Metal Products,manufacturing,True,,2612186.745621696,58331.913568329306,0.1308678314964879,0,USD,Costa Rica,CRI
CRI_Electrical and Machinery,CRI_Electrical and Machinery,utility,True,,8329623.675322041,3019969.0288138776,0.342936639327553,0,USD,Costa Rica,CRI
CRI_Transport Equipment,CRI_Transport Equipment,utility,True,,2410244.4005035725,1144242.5110539794,0.0182713156186122,0,USD,Costa Rica,CRI
CRI_Other Manufacturing,CRI_Other Manufacturing,manufacturing,True,,905515.8374531764,491812.838621597,0.0879198641798418,0,USD,Costa Rica,CRI
CRI_Recycling,CRI_Recycling,utility,True,,188834.08442298265,89102.16025763283,0.3712580426757815,0,USD,Costa Rica,CRI
"CRI_Electricity, Gas and Water","CRI_Electricity, Gas and Water",utility,True,,2074714.6933024072,932009.950850727,0.0171672496255312,0,USD,Costa Rica,CRI
CRI_Construction,CRI_Construction,construction,True,,5691708.175444804,4661453.904879924,0.016754490942858,0,USD,Costa Rica,CRI
CRI_Maintenance and Repair,CRI_Maintenance and Repair,construction,True,,238896.5691575219,135284.8825703654,0.1521818590587845,0,USD,Costa Rica,CRI
CRI_Wholesale Trade,CRI_Wholesale Trade,trade,True,,6130735.057909023,2251477.343544179,0.0397223091643297,0,USD,Costa Rica,CRI
CRI_Retail Trade,CRI_Retail Trade,trade,True,,4123236.370466826,3576267.2299640896,0.0261936732820651,0,USD,Costa Rica,CRI
CRI_Hotels and Restraurants,CRI_Hotels and Restraurants,service,True,,3572420.904045931,2788318.654529877,0.0601800580980165,0,USD,Costa Rica,CRI
CRI_Transport,CRI_Transport,construction,True,,4965670.312785331,1734739.4437112124,0.2446477360782946,0,USD,Costa Rica,CRI
CRI_Post and Telecommunications,CRI_Post and Telecommunications,service,True,,4086243.476423964,1795101.1072520486,0.0857173464950816,0,USD,Costa Rica,CRI
CRI_Finacial Intermediation and Business Activities,CRI_Finacial Intermediation and Business Activities,service,True,,20189147.547233388,8822278.971025886,0.0132996555317329,0,USD,Costa Rica,CRI
CRI_Public Administration,CRI_Public Administration,service,True,,6790029.452147011,6669668.109604404,0.0128265892830652,0,USD,Costa Rica,CRI
"CRI_Education, Health and Other Services","CRI_Education, Health and Other Services",service,True,,9925232.57971096,8975696.374589644,0.0307635822887899,0,USD,Costa Rica,CRI
CRI_Private Households,CRI_Private Households,service,True,,146982.36230484722,112604.84664126288,0.221113432720441,0,USD,Costa Rica,CRI
CRI_Others,CRI_Others,service,True,,281273.7727019939,101344.54975546744,0.0530766868631705,0,USD,Costa Rica,CRI
CRI_Re-export & Re-import,CRI_Re-export & Re-import,imports,True,,16312.704540278097,1213.3743490723407,0.9254241030928644,0,USD,Costa Rica,CRI
HRV_Agriculture,HRV_Agriculture,agriculture,True,,3090714.3402917413,396500.3749176856,0.141251008607559,0,USD,Croatia,HRV
HRV_Fishing,HRV_Fishing,agriculture,True,,217963.85103368585,85312.96352036351,0.4006955155734724,0,USD,Croatia,HRV
HRV_Mining and Quarrying,HRV_Mining and Quarrying,mining,True,,1207773.8415217097,28881.370933076843,0.2431057666712691,0,USD,Croatia,HRV
HRV_Food & Beverages,HRV_Food & Beverages,agriculture,True,,3493292.284590804,1872997.6546838048,0.1898202222676813,0,USD,Croatia,HRV
HRV_Textiles and Wearing Apparel,HRV_Textiles and Wearing Apparel,manufacturing,True,,2576300.1150240013,1423845.6447400344,0.3885272676994192,0,USD,Croatia,HRV
HRV_Wood and Paper,HRV_Wood and Paper,manufacturing,True,,3030691.775643096,309982.89297966484,0.5135143202588478,0,USD,Croatia,HRV
"HRV_Petroleum, Chemical and Non-Metallic Mineral Products","HRV_Petroleum, Chemical and Non-Metallic Mineral Products",utility,True,,9144848.815540489,1821474.1397936004,0.5163167565387301,0,USD,Croatia,HRV
HRV_Metal Products,HRV_Metal Products,manufacturing,True,,2979016.334551722,187987.9875139756,0.3934634917079541,0,USD,Croatia,HRV
HRV_Electrical and Machinery,HRV_Electrical and Machinery,utility,True,,8131149.95292593,3086755.126404503,0.3322097578030069,0,USD,Croatia,HRV
HRV_Transport Equipment,HRV_Transport Equipment,utility,True,,2775529.9842326515,1289370.3339995951,0.1656708543035923,0,USD,Croatia,HRV
HRV_Other Manufacturing,HRV_Other Manufacturing,manufacturing,True,,1208228.4397682422,655255.0347961035,0.209794369358463,0,USD,Croatia,HRV
HRV_Recycling,HRV_Recycling,utility,True,,190121.7892332186,121332.65568702048,0.1633885732639129,0,USD,Croatia,HRV
"HRV_Electricity, Gas and Water","HRV_Electricity, Gas and Water",utility,True,,3923397.5018544914,592260.4157776133,0.0221589895277737,0,USD,Croatia,HRV
HRV_Construction,HRV_Construction,construction,True,,8121522.885269284,4163337.4257212686,0.0299564572660744,0,USD,Croatia,HRV
HRV_Maintenance and Repair,HRV_Maintenance and Repair,construction,True,,235159.5642285353,99365.87153231012,0.2197888252420639,0,USD,Croatia,HRV
HRV_Wholesale Trade,HRV_Wholesale Trade,trade,True,,7107519.065973164,1753889.0788003437,0.0705434201693766,0,USD,Croatia,HRV
HRV_Retail Trade,HRV_Retail Trade,trade,True,,4194608.398594673,3238904.060651218,0.0542264045028998,0,USD,Croatia,HRV
HRV_Hotels and Restraurants,HRV_Hotels and Restraurants,service,True,,3867111.634554676,2278365.5070701167,0.1097245873827547,0,USD,Croatia,HRV
HRV_Transport,HRV_Transport,construction,True,,5145346.298413785,1022135.0528873772,0.2589501797375893,0,USD,Croatia,HRV
HRV_Post and Telecommunications,HRV_Post and Telecommunications,service,True,,3457649.9008150767,1038475.4378565697,0.1078086979571365,0,USD,Croatia,HRV
HRV_Finacial Intermediation and Business Activities,HRV_Finacial Intermediation and Business Activities,service,True,,16950437.168375116,6182012.233194171,0.025177322489781,0,USD,Croatia,HRV
HRV_Public Administration,HRV_Public Administration,service,True,,7263530.893597953,6926019.745346985,0.0394017999514837,0,USD,Croatia,HRV
"HRV_Education, Health and Other Services","HRV_Education, Health and Other Services",service,True,,9031944.060093869,7753997.48543755,0.0612692346026959,0,USD,Croatia,HRV
HRV_Private Households,HRV_Private Households,service,True,,94841.73837811782,65716.89658737136,0.2928233959095594,0,USD,Croatia,HRV
HRV_Others,HRV_Others,service,True,,259719.2404419368,73827.01780342379,0.0436297687812094,0,USD,Croatia,HRV
HRV_Re-export & Re-import,HRV_Re-export & Re-import,imports,True,,25885.405888754387,1892.100612927601,0.9268734597177032,0,USD,Croatia,HRV
CUB_Agriculture,CUB_Agriculture,agriculture,True,,4334629.3925987305,1305649.540362606,0.1396316718863197,0,USD,Cuba,CUB
CUB_Fishing,CUB_Fishing,agriculture,True,,427043.7534656144,48204.79841898273,0.2187170598179749,0,USD,Cuba,CUB
CUB_Mining and Quarrying,CUB_Mining and Quarrying,mining,True,,1188036.840157037,46283.38477782221,0.0411730225156563,0,USD,Cuba,CUB
CUB_Food & Beverages,CUB_Food & Beverages,agriculture,True,,7327117.039049823,4824424.528724174,0.261245700858066,0,USD,Cuba,CUB
CUB_Textiles and Wearing Apparel,CUB_Textiles and Wearing Apparel,manufacturing,True,,629081.4107904813,366995.3055267464,0.0784637792614334,0,USD,Cuba,CUB
CUB_Wood and Paper,CUB_Wood and Paper,manufacturing,True,,1808171.1564622368,212830.84420867244,0.0426426520011654,0,USD,Cuba,CUB
"CUB_Petroleum, Chemical and Non-Metallic Mineral Products","CUB_Petroleum, Chemical and Non-Metallic Mineral Products",utility,True,,4752972.546862224,1178331.821846514,0.0766358839556455,0,USD,Cuba,CUB
CUB_Metal Products,CUB_Metal Products,manufacturing,True,,2840771.6934412667,76322.44916229295,0.5608925326444686,0,USD,Cuba,CUB
CUB_Electrical and Machinery,CUB_Electrical and Machinery,utility,True,,5057084.166192933,2630594.4958787626,0.0263961036770047,0,USD,Cuba,CUB
CUB_Transport Equipment,CUB_Transport Equipment,utility,True,,2383141.389967153,1649507.666373264,0.0260007197662518,0,USD,Cuba,CUB
CUB_Other Manufacturing,CUB_Other Manufacturing,manufacturing,True,,831684.6871421727,419993.967528151,0.0582426552669494,0,USD,Cuba,CUB
CUB_Recycling,CUB_Recycling,utility,True,,285582.7331738295,222764.8197756245,0.1779741474347746,0,USD,Cuba,CUB
"CUB_Electricity, Gas and Water","CUB_Electricity, Gas and Water",utility,True,,2227655.2780562257,680373.2059045162,0.0110081144076769,0,USD,Cuba,CUB
CUB_Construction,CUB_Construction,construction,True,,8701820.435868409,6413383.002368884,0.0561688991288343,0,USD,Cuba,CUB
CUB_Maintenance and Repair,CUB_Maintenance and Repair,construction,True,,476806.3024604701,277491.018453483,0.261738277352855,0,USD,Cuba,CUB
CUB_Wholesale Trade,CUB_Wholesale Trade,trade,True,,10385656.241933022,5856169.251443942,0.077736619429916,0,USD,Cuba,CUB
CUB_Retail Trade,CUB_Retail Trade,trade,True,,9791712.411505813,8328173.855963114,0.1064940480877886,0,USD,Cuba,CUB
CUB_Hotels and Restraurants,CUB_Hotels and Restraurants,service,True,,6828132.710821539,5378577.060618198,0.076144898361354,0,USD,Cuba,CUB
CUB_Transport,CUB_Transport,construction,True,,5336773.746057822,1736199.589963054,0.211143601078672,0,USD,Cuba,CUB
CUB_Post and Telecommunications,CUB_Post and Telecommunications,service,True,,4773253.314555525,2185676.05561902,0.0761824695407696,0,USD,Cuba,CUB
CUB_Finacial Intermediation and Business Activities,CUB_Finacial Intermediation and Business Activities,service,True,,21797037.421973057,11058662.26832143,0.0022934507398339,0,USD,Cuba,CUB
CUB_Public Administration,CUB_Public Administration,service,True,,16065813.800252698,15982535.098669289,0.00401307730346,0,USD,Cuba,CUB
"CUB_Education, Health and Other Services","CUB_Education, Health and Other Services",service,True,,18824810.06649448,15726113.510638872,0.0107846007257707,0,USD,Cuba,CUB
CUB_Private Households,CUB_Private Households,service,True,,174702.38490786444,113939.50351416224,0.2931272324113354,0,USD,Cuba,CUB
CUB_Others,CUB_Others,service,True,,300699.3698034921,122802.3926586996,0.0637978784502582,0,USD,Cuba,CUB
CUB_Re-export & Re-import,CUB_Re-export & Re-import,imports,True,,33962.88107582459,1671.1369218875986,0.9507456961394732,0,USD,Cuba,CUB
CYP_Agriculture,CYP_Agriculture,agriculture,True,,729896.6390352391,164319.63805050994,0.1307294410244876,0,USD,Cyprus,CYP
CYP_Fishing,CYP_Fishing,agriculture,True,,47535.951970622045,7435.408588621277,0.1758738305728597,0,USD,Cyprus,CYP
CYP_Mining and Quarrying,CYP_Mining and Quarrying,mining,True,,309056.35161299567,20623.601512127007,0.1054490913963687,0,USD,Cyprus,CYP
CYP_Food & Beverages,CYP_Food & Beverages,agriculture,True,,1399668.902116362,990495.5152955008,0.0677358254309339,0,USD,Cyprus,CYP
CYP_Textiles and Wearing Apparel,CYP_Textiles and Wearing Apparel,manufacturing,True,,279537.3938759683,172119.5704707066,0.0887803142118202,0,USD,Cyprus,CYP
CYP_Wood and Paper,CYP_Wood and Paper,manufacturing,True,,742256.9940681068,80715.5635682318,0.0929099028072562,0,USD,Cyprus,CYP
"CYP_Petroleum, Chemical and Non-Metallic Mineral Products","CYP_Petroleum, Chemical and Non-Metallic Mineral Products",utility,True,,1879203.8750873087,457431.145085072,0.0990997301416204,0,USD,Cyprus,CYP
CYP_Metal Products,CYP_Metal Products,manufacturing,True,,725821.6555792491,56094.05578455246,0.0771482380902645,0,USD,Cyprus,CYP
CYP_Electrical and Machinery,CYP_Electrical and Machinery,utility,True,,2123064.0254452485,1050601.4766247664,0.0774195799045735,0,USD,Cyprus,CYP
